lab_id,subj_id,subj_num,age_group,age_days,premature_days,method,screen_size_inches,infant_distance_cm,RA_number,RA_1,RA_1_naive,RA_2,RA_2_naive,cb_order,condition,push_up_identity,push_up_order,push_up_side,meet_eligibility,exclude_session,exclusion_type_1,exclusion_type_2,exclusion_type_3,exclusion_type_4,notes,second_session,caregiver_seat,participant_gender,primarycaregiver_gender,hearing_vision,hearing_vision_info,cognitive_developmental,cognitive_developmental_info,infant_handedness,parentA_handedness,parentB_handedness,primary_language,percent_primarylanguage,colorblindness_primaryfamily,choice_experimenter_mask,character_choice,helper_hinderer_choice,left_right_choice,touch_both,touch_both_usable,trial1_sawcriticalevent,trial1_lookingtime_videoevent,trial1_lookingtime_freezeframe,trial1_numrepeats,trial2_sawcriticalevent,trial2_lookingtime_videoevent,trial2_lookingtime_freezeframe,trial2_numrepeats,trial3_sawcriticalevent,trial3_lookingtime_videoevent,trial3_lookingtime_freezeframe,trial3_numrepeats,trial4_sawcriticalevent,trial4_lookingtime_videoevent,trial4_lookingtime_freezeframe,trial4_numrepeats,trial5_sawcriticalevent,trial5_lookingtime_videoevent,trial5_lookingtime_freezeframe,trial5_numrepeats,trial6_sawcriticalevent,trial6_lookingtime_videoevent,trial6_lookingtime_freezeframe,trial6_numrepeats,trial7_sawcriticalevent,trial7_lookingtime_videoevent,trial7_lookingtime_freezeframe,trial7_numrepeats,trial8_sawcriticalevent,trial8_lookingtime_videoevent,trial8_lookingtime_freezeframe,trial8_numrepeats,trial9_sawcriticalevent,trial9_lookingtime_videoevent,trial9_lookingtime_freezeframe,trial9_numrepeats,trial10_sawcriticalevent,trial10_lookingtime_videoevent,trial10_lookingtime_freezeframe,trial10_numrepeats,trial11_sawcriticalevent,trial11_lookingtime_videoevent,trial11_lookingtime_freezeframe,trial11_numrepeats,trial12_sawcriticalevent,trial12_lookingtime_videoevent,trial12_lookingtime_freezeframe,trial12_numrepeats,trial13_sawcriticalevent,trial13_lookingtime_videoevent,trial13_lookingtime_freezeframe,trial13_numrepeats,trial14_sawcriticalevent,trial14_lookingtime_videoevent,trial14_lookingtime_freezeframe,trial14_numrepeats
lmumunich,MB69,15,six,198,0,single screen,23,50,2,Paula,Y,Caro,Y,3,social,triangle,second,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,U,R,R,german,100,N,N,square,hinderer,left,N,NA,Y,13.506597,14.6115036,0,Y,13.4450474,5.5358761,0,Y,13.5392004,7.2726659,0,Y,13.4285931,4.8338856,0,Y,13.4859536,3.3852075,0,Y,13.4335313,2.8486145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB74,16,five,173,0,single screen,23,50,2,Paula,Y,Sarina,Y,4,social,triangle,second,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,B,R,R,english,70,Y,N,square,hinderer,right,N,NA,Y,13.4857409,11.2697363,0,Y,13.4390582,8.0260116,0,Y,13.4777433,22.3659774,0,Y,13.437835,5.6586406,0,Y,13.4809001,5.9580108,0,Y,12.7247494,1.6943959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB77,17,eight,272,0,single screen,23,50,2,Paula,Y,Lucie,Y,9,nonsocial,triangle,first,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,U,R,R,german,100,N,Y,square,hinderer,left,N,NA,Y,8.9369883,9.1027897,0,Y,9.0989229,4.6040207,0,Y,9.0870098,3.4598035,0,Y,6.5153775,5.2163513,0,Y,9.0770586,4.1554235,0,Y,9.0931859,3.5114821,0,Y,9.0909324,15.3329053,0,Y,9.0955287,2.9846223,0,Y,9.0943505,2.8073062,0,Y,9.0965987,3.2763897,0,Y,9.0898539,5.8848022,0,Y,9.0765265,8.23016,0,Y,8.6554311,2.1307228,0,Y,9.0834542,1.611356,0
lmumunich,MB78,18,nine,294,0,single screen,23,50,2,Paula,Y,Lucie,Y,12,nonsocial,triangle,second,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,B,R,R,german,100,N,Y,triangle,helper,left,N,NA,Y,9.0777184,11.2822075,0,Y,9.0832553,5.8566062,0,Y,9.0716391,4.4555416,0,Y,9.097572,4.0755532,0,Y,9.0759486,5.6204589,0,Y,9.1094858,8.4085909,0,Y,9.0952432,13.9244344,0,Y,9.0740294,1.3656574,0,Y,9.0955348,5.075243,0,Y,9.1239782,5.1290839,0,Y,9.0845011,2.952738,0,Y,8.6145157,1.9728602,0,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB83,19,six,202,0,single screen,23,50,2,Paula,Y,Sarina,Y,13,nonsocial,square,first,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,B,R,R,german,99,N,Y,triangle,hinderer,left,N,NA,Y,9.0812738,6.5239648,0,Y,9.0793026,13.0899202,0,Y,9.1047763,13.0592676,0,Y,9.1039381,6.9188749,0,Y,9.0873362,5.7485091,0,Y,9.0799204,1.5280535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB87,20,nine,274,0,single screen,23,50,2,Paula,Y,Caro,Y,14,nonsocial,square,first,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,U,R,R,german,70,N,N,square,helper,left,N,NA,Y,9.10295,8.8717654,0,Y,9.0974146,3.8633569,0,Y,8.1881302,3.0321001,0,Y,9.0739909,2.6735347,0,Y,7.8225762,4.5301836,0,Y,9.0920092,1.8201889,0,Y,9.1037392,1.8288745,0,Y,8.2122707,7.2530881,0,Y,9.0798479,1.8415081,0,Y,6.467005,0,0,Y,9.2177206,4.20922,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB89,21,seven,214,0,single screen,23,50,2,Paula,Y,Lucie,Y,1,social,triangle,first,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,U,R,R,german,100,NA,Y,triangle,helper,right,N,NA,Y,13.4513898,14.3925933,0,Y,13.0639128,24.3628967,0,Y,13.4486514,10.1132903,0,Y,13.5076487,14.3355875,0,Y,13.4230212,6.2335963,0,Y,13.4928328,10.648776,0,Y,13.2479018,4.1091852,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB90,22,six,210,0,single screen,23,50,2,Paula,Y,Sarina,Y,5,social,square,first,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,U,R,R,ukrainian,70,N,N,triangle,hinderer,left,N,NA,Y,13.4776331,12.1768504,0,Y,13.4777884,10.8330945,0,Y,13.5099252,0.837712,0,Y,13.476478,4.7781864,0,Y,12.439335,0.0307639,0,Y,12.7233589,8.3021886,1,Y,9.680925,0.2927688,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB95,23,five,180,0,single screen,23,50,2,Paula,Y,Lucie,Y,7,social,square,second,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,U,R,R,german,100,N,N,square,helper,right,N,NA,Y,13.4784952,16.5906984,0,Y,13.483216,16.9040279,0,Y,13.4659155,7.0739132,0,Y,13.4869571,4.1367512,0,Y,13.4690304,2.3041929,0,Y,13.4983683,5.542924,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB98,24,ten,311,0,single screen,23,50,2,Paula,Y,Lucie,Y,10,nonsocial,triangle,first,left,Y,excluded,ExperimenterError,NA,NA,NA,NA,N,caregiver,female,other,N,NA,N,NA,R,R,R,german,100,N,N,square,hinderer,right,N,NA,Y,9.1194794,5.5162084,0,Y,9.0924076,5.7470283,0,Y,9.1009191,15.779055,0,Y,9.1175156,5.7719316,0,Y,9.1000429,5.1465381,0,Y,9.0672767,3.6401439,0,Y,9.0909226,5.0086842,0,Y,9.0977369,2.9731667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lmumunich,MB99,25,seven,230,0,single screen,23,50,2,Paula,Y,Sarina,Y,8,social,square,second,left,Y,excluded,ExperimenterError,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,B,R,R,german,100,N,N,square,helper,left,N,NA,Y,13.4738477,7.9402299,0,Y,13.4902832,3.2882344,0,Y,13.4746899,7.5791744,0,Y,13.0710058,3.9151242,0,Y,13.4919922,16.0873296,0,Y,13.4979518,4.0935729,0,Y,12.9188567,5.2680843,0,Y,12.2969858,4.5747059,0,Y,13.4844343,13.2754666,0,Y,13.6073389,6.055821,1,Y,13.1365337,6.4073206,1,Y,11.6676811,0.7471481,0,Y,13.4771787,3.4973087,0,Y,11.7484388,3.0752893,0
mecdmpihcbs,VP01,1,ten,317,0,eye-tracking,17,63,1,Jana,N,NA,NA,3,social,triangle,second,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,male,N,NA,N,NA,U,R,R,german,100,N,N,triangle,helper,right,N,NA,Y,13,18,0,Y,13,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
